company_name,industry,country,monthly_subscription,users,churn_risk,last_active_date,support_tickets_last_6_months,nps_score
"Ray, Adams and Robinson",Manufacturing,Sri Lanka,3321.44,82,High,4/8/2025,23,59
"Reyes, Abbott and Thomas",Manufacturing,Czech Republic,4976.95,343,High,4/8/2025,15,44
Patel Ltd,Healthcare,Hungary,1823.33,250,High,4/8/2025,22,-53
"Wright, Perkins and Ray",Healthcare,Ghana,3716.36,297,High,4/8/2025,2,-45
Myers-Mendoza,Retail,India,1134.73,337,Medium,4/8/2025,6,88
"Boyd, Matthews and Sanchez",Retail,Israel,4081.63,407,Low,4/8/2025,11,84
Welch Ltd,Education,Faroe Islands,464.37,255,Medium,4/8/2025,23,23
"Perry, Juarez and Sanchez",Manufacturing,Djibouti,565.44,232,Low,4/8/2025,18,27
"Benson, Campbell and Neal",Technology,Maldives,2839.99,16,Medium,4/8/2025,20,56
Torres PLC,Finance,Palau,3039.98,308,Low,4/8/2025,23,-100
"Flowers, Hall and Greene",Retail,Bhutan,2215.32,134,Medium,4/8/2025,6,-63
"Brown, Williams and Anderson",Finance,Bermuda,4586.61,449,Medium,4/8/2025,4,-82
Howard-Smith,Education,Greenland,2855.01,464,Low,4/8/2025,23,90
"Coleman, Lewis and Serrano",Education,Kenya,2424.88,7,High,4/8/2025,23,-55
Robinson Inc,Healthcare,Turkey,2373.92,157,High,4/8/2025,9,62
Randolph-Anderson,Education,Cape Verde,1831.79,351,Low,4/8/2025,5,57
Proctor-Smith,Education,Philippines,1487.81,301,Medium,4/8/2025,0,-35
Owen Group,Technology,Maldives,2597.78,490,High,4/8/2025,25,61
Sanchez-Ramos,Healthcare,Seychelles,4847.46,251,Medium,4/8/2025,17,39
"Wiggins, Grimes and Carlson",Healthcare,Tuvalu,2625.84,433,Low,4/8/2025,25,29
Chambers Group,Technology,Montenegro,2002.11,84,Low,4/8/2025,18,-31
Pittman LLC,Manufacturing,Estonia,2724.53,261,High,4/8/2025,13,-44
Clark and Sons,Healthcare,Sierra Leone,3703.42,389,High,4/8/2025,20,5
Valencia-White,Technology,British Virgin Islands,4140.6,343,Medium,4/8/2025,16,-79
"Sutton, Wilcox and Hammond",Healthcare,Lesotho,751.72,58,High,4/8/2025,12,90
Lowe-Velazquez,Retail,Aruba,2851.92,30,Medium,4/8/2025,13,37
Stewart-Parker,Healthcare,Armenia,1651.74,480,Medium,4/8/2025,4,14
Mathews-Holloway,Healthcare,Ethiopia,1084.08,280,Medium,4/8/2025,0,32
Cruz-Novak,Technology,Bahrain,494.08,101,Low,4/8/2025,0,-4
Watkins-Clements,Finance,Honduras,3920.02,143,Medium,4/8/2025,14,39
"Horton, Long and Walton",Retail,Heard Island and McDonald Islands,948.36,168,High,4/8/2025,18,-9
"Stephens, Edwards and Flynn",Healthcare,Palestinian Territory,1296.46,373,Medium,4/8/2025,19,87
Green-Rogers,Manufacturing,Jordan,1314.57,265,Medium,4/8/2025,25,92
Morales Group,Technology,Cape Verde,754.64,59,Low,4/8/2025,16,29
Shannon-Lamb,Manufacturing,Bermuda,1632.15,339,Low,4/8/2025,16,36
Greene-Berry,Manufacturing,Cocos (Keeling) Islands,952.07,486,Medium,4/8/2025,1,-54
Silva-Hernandez,Manufacturing,Poland,418.13,243,Medium,4/8/2025,10,60
Douglas-Morales,Manufacturing,Saint Pierre and Miquelon,4107.01,307,High,4/8/2025,9,-72
Moore LLC,Finance,Mauritania,1477.84,161,High,4/8/2025,23,-94
"Zavala, Rodriguez and Daniel",Manufacturing,Uganda,1609.2,429,High,4/8/2025,7,-15
"Schwartz, Flores and Olsen",Education,Seychelles,1567.22,451,Low,4/8/2025,12,-42
West Group,Manufacturing,Germany,153.72,199,Low,4/8/2025,9,-67
Davis Ltd,Technology,Botswana,1955.87,61,Medium,4/8/2025,25,-13
Edwards-Anderson,Manufacturing,Nauru,4749.33,84,Medium,4/8/2025,24,-86
Davis-Blankenship,Retail,Guinea,3777.57,407,Medium,4/8/2025,19,91
Bridges Inc,Healthcare,Cook Islands,3260.81,336,Low,4/8/2025,7,-10
Young-Stewart,Manufacturing,Georgia,1211.31,162,Low,4/8/2025,20,82
Graham-Jones,Manufacturing,Norfolk Island,700.31,226,Low,4/8/2025,18,-55
Shields-Ford,Healthcare,Guinea-Bissau,747.9,267,High,4/8/2025,7,-14
Morrison-Salinas,Manufacturing,Afghanistan,1361.31,298,Medium,4/8/2025,19,3
Ramirez and Sons,Technology,Brunei Darussalam,455.37,269,Low,4/8/2025,22,-10
Hernandez-Cummings,Manufacturing,Serbia,4761.2,186,Low,4/8/2025,1,-72
"Cabrera, Thomas and Ramirez",Retail,Sao Tome and Principe,3815.34,489,High,4/8/2025,13,-2
Dawson-Davis,Education,Georgia,2371.18,392,High,4/8/2025,6,9
Benson-Ward,Retail,Thailand,1104.81,285,High,4/8/2025,6,76
"Robinson, Patel and Roberts",Retail,Australia,4864.62,30,High,4/8/2025,3,43
Smith-Shaw,Education,American Samoa,220.03,197,Medium,4/8/2025,13,58
Allen-Roth,Retail,Gambia,4718.08,80,Low,4/8/2025,20,-91
Armstrong-Proctor,Retail,Pitcairn Islands,377.56,80,Low,4/8/2025,25,-86
Stevenson LLC,Healthcare,Czech Republic,1082.21,225,Medium,4/8/2025,4,96
Schmitt-Graham,Manufacturing,Guadeloupe,4961.3,291,Low,4/8/2025,7,-15
Kelly and Sons,Manufacturing,Albania,3436.56,332,Medium,4/8/2025,20,-35
Watkins-Hernandez,Technology,Micronesia,4805.7,412,Low,4/8/2025,25,38
"Graham, Benjamin and Fisher",Education,Gabon,3850.26,496,Low,4/8/2025,15,-77
"Campbell, Thomas and Hester",Healthcare,Canada,4887.38,184,Low,4/8/2025,1,16
Davis PLC,Retail,Kiribati,4023.67,260,Low,4/8/2025,4,-52
Schneider-Lee,Healthcare,New Caledonia,2510.19,434,High,4/8/2025,23,-67
"Hogan, Livingston and Castillo",Education,Cayman Islands,3867.33,35,High,4/8/2025,22,-12
Parker-Phillips,Technology,Ireland,2842.1,114,Medium,4/8/2025,12,-86
"Sanchez, Holmes and Johnson",Healthcare,Saint Lucia,2751.7,336,Medium,4/8/2025,24,10
"Griffith, Edwards and Nguyen",Healthcare,Bermuda,4440.18,278,Low,4/8/2025,17,19
York-Garcia,Finance,Central African Republic,3421.86,251,Medium,4/8/2025,10,21
Webb Group,Healthcare,Guernsey,1521.61,105,Low,4/8/2025,21,38
Thomas-Wilkinson,Healthcare,French Polynesia,4250.01,227,Low,4/8/2025,13,-55
Miller-Smith,Finance,Benin,168.03,93,Medium,4/8/2025,5,-5
Small-Vasquez,Technology,Afghanistan,3120.04,327,Low,4/8/2025,13,77
Villegas and Sons,Retail,Reunion,2246.95,417,Medium,4/8/2025,4,-66
Rice-Singh,Technology,Nepal,4716.09,257,Low,4/8/2025,21,64
Sellers PLC,Education,Tokelau,408.63,293,High,4/8/2025,19,79
Lara-Ramos,Retail,Mauritania,1425.69,112,High,4/8/2025,25,-28
"Williams, Hall and Werner",Education,Korea,746.29,310,High,4/8/2025,9,28
Bell-Bolton,Education,Guatemala,4165.7,11,High,4/8/2025,23,9
"White, Mccormick and Davis",Retail,Lithuania,1961.07,127,Medium,4/8/2025,8,55
Bowen-Floyd,Technology,Eritrea,4085.42,487,Medium,4/8/2025,5,-62
Clay-James,Education,Christmas Island,832.74,246,High,4/8/2025,7,-41
"Andrade, Beltran and Carpenter",Retail,Macedonia,2475.23,420,Low,4/8/2025,17,29
"Sanchez, Brown and Schultz",Technology,Cook Islands,494.7,242,Low,4/8/2025,16,76
Ford Inc,Manufacturing,Greenland,4612.27,54,Low,4/8/2025,23,-44
"Lamb, Diaz and Romero",Finance,American Samoa,1692.46,463,Medium,4/8/2025,13,78
Roberts PLC,Manufacturing,Brazil,1358.93,468,Medium,4/8/2025,11,-30
Castillo-Burton,Healthcare,Montenegro,4021.89,266,Medium,4/8/2025,19,71
"Myers, Perry and Brown",Healthcare,United Arab Emirates,4538.87,9,Medium,4/8/2025,0,-6
Haley-Harris,Retail,Central African Republic,3232.01,435,Medium,4/8/2025,25,-22
Fernandez Group,Healthcare,Sri Lanka,525.16,353,High,4/8/2025,1,77
"Steele, Oliver and Roach",Retail,Hong Kong,2337.26,458,Low,4/8/2025,12,59
Patel-Anderson,Manufacturing,Switzerland,4268.63,300,Low,4/8/2025,1,-98
"Williams, Hughes and Woodard",Technology,Zambia,1333.62,34,High,4/8/2025,6,-2
"Shelton, Patel and Martinez",Healthcare,Dominican Republic,4070.74,266,Medium,4/8/2025,17,41
Morgan-Lawson,Manufacturing,Taiwan,4524.99,135,Low,4/8/2025,18,-96
"Carroll, Thomas and Johnson",Technology,Lebanon,234.04,474,Medium,4/8/2025,22,-42
Blake-Joseph,Retail,United States Virgin Islands,1493.88,19,Low,4/8/2025,24,27
"Torres, Jones and Hall",Retail,Antarctica (the territory South of 60 deg S),2497.81,383,Low,4/8/2025,2,72
"Jones, Davis and Barton",Retail,Libyan Arab Jamahiriya,3493.7,8,High,4/8/2025,21,-26
Johnson Ltd,Technology,Christmas Island,4573.6,21,Low,4/8/2025,13,62
Dennis-Osborne,Technology,Kuwait,651.34,186,High,4/8/2025,19,-88
"Thomas, Sellers and Ramirez",Manufacturing,Timor-Leste,1833,133,Low,4/8/2025,8,39
"Hardy, Casey and Williams",Retail,Czech Republic,4192.98,141,High,4/8/2025,21,-72
"Scott, Gutierrez and Harris",Manufacturing,Burkina Faso,3017.69,187,Low,4/8/2025,22,93
Snow Group,Retail,Cape Verde,3891.91,155,Medium,4/8/2025,11,-100
"Anderson, Zimmerman and Griffin",Healthcare,Guadeloupe,389.23,429,Low,4/8/2025,22,99
King Group,Education,Tuvalu,2454.11,471,Low,4/8/2025,5,48
Pearson PLC,Technology,Saint Helena,2611.89,27,High,4/8/2025,19,-62
"Hanna, Curry and Robinson",Education,Seychelles,2231.36,105,High,4/8/2025,3,-2
"Ware, Graves and Williams",Finance,Indonesia,1299.45,175,Medium,4/8/2025,9,-27
Washington Group,Education,Finland,1692.76,76,High,4/8/2025,22,-96
Perez-Smith,Education,Belize,3778.51,363,Medium,4/8/2025,18,84
Vargas Ltd,Finance,Costa Rica,3168.27,124,Low,4/8/2025,10,-80
Allison Inc,Healthcare,Tonga,495.22,246,High,4/8/2025,8,39
Douglas-Day,Finance,Reunion,1145.19,45,High,4/8/2025,7,95
Marshall-Patterson,Technology,Guam,2782.37,416,Medium,4/8/2025,20,-33
Hunt Inc,Manufacturing,Togo,4140.43,457,Low,4/8/2025,8,96
"Fox, Harrington and Vance",Manufacturing,Rwanda,1091.35,174,Low,4/8/2025,2,-54
Cuevas-Rose,Manufacturing,Saint Helena,966.19,100,High,4/8/2025,11,0
"Scott, Evans and Reyes",Healthcare,Belgium,3270.61,325,Low,4/8/2025,11,95
Shaw and Sons,Technology,Palau,410.73,338,High,4/8/2025,3,60
Brooks Inc,Healthcare,Turkey,4725.99,204,Low,4/8/2025,14,75
"Taylor, Fry and Hatfield",Education,Ecuador,2251.57,217,Medium,4/8/2025,2,-77
Jimenez-Villarreal,Healthcare,Holy See (Vatican City State),1832.54,236,Medium,4/8/2025,8,-24
"Jennings, Anderson and Fox",Finance,Colombia,4340.82,366,Medium,4/8/2025,2,-75
Davis-Watson,Manufacturing,Reunion,2318.2,161,Medium,4/8/2025,13,-7
Smith and Sons,Healthcare,Eritrea,3720.65,60,High,4/8/2025,8,14
